UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2016,6,1,Sings [sound recording] / Angélique Kidjo with the Orchestre Philharmonique du Luxembourg.,,"Kidjo, Angélique, 1960-","World music, Popular music Benin 2011 2020","429 Records,",[2015]
Physical,Horizon,BOOK,2016,6,4,Why we write about ourselves : twenty memoirists on why they expose themselves (and others) in the name of literature / edited by Meredith Maran.,,,"Autobiography Authorship, Biography as a literary form, REFERENCE Writing Skills, Autobiography Authorship, Biography as a literary form","Plume,",2016.
Digital,Freegal,SONG,2016,6,6,I Don't Want to Be,,Gavin DeGraw,,,
Physical,Horizon,SOUNDDISC,2016,6,1,Forbidden fruit [sound recording] : love stories from the Underground Railroad / by Betty DeRamus.,,"DeRamus, Betty","Underground Railroad Anecdotes, Fugitive slaves United States Biography Anecdotes, Couples United States Biography Anecdotes, Love United States History 19th century Anecdotes, African Americans Biography Anecdotes, Whites United States Biography Anecdotes, United States Race relations Anecdotes","Recorded Books,",p2005.
Physical,Horizon,VIDEODISC,2016,6,3,Weeds. Season five [videorecording] / Showtime ; Tilted Productions ; Lions Gate Television.,,,"Marijuana industry Drama, Drug dealers Drama, Criminal behavior Drama, Families Drama, Kidnapping Drama, Fiction television programs, Television comedies, Video recordings for the hearing impaired, Television series","Lionsgate,",[2010]
Physical,Horizon,BOOK,2016,6,1,The Upanishads : a new translation / [translated by] Vernon Katz and Thomas Egenes.,,,Upanishads,"Jeremy P. Tarcher/Penguin, a member of Penguin Group (USA),",[2015]
Digital,OverDrive,EBOOK,2016,6,3,Louisa: The Extraordinary Life of Mrs. Adams,,Louisa Thomas,"Biography & Autobiography, History, Nonfiction","Penguin Group (USA), Inc.",2016
Physical,Horizon,SOUNDDISC,2016,6,3,Shout [sound recording] : the very best of Tears for Fears.,,Tears for Fears (Musical group),"Popular music 1981 1990, Popular music 1991 2000, Rock music 1981 1990, Rock music 1991 2000","Mercury,",p2001.
Digital,Hoopla,MOVIE,2016,6,1,Sherman's March,,,"Award Winning, Documentary",First Run Films,
Digital,OverDrive,AUDIOBOOK,2016,6,4,The Other Paris,,Luc Sante,"History, Nonfiction",HighBridge Company,2015
Physical,Horizon,BOOK,2016,6,1,Capital : a critique of political economy. Volume two / Karl Marx ; introduced by Ernest Mandel ; translated by David Fernbach.,,"Marx, Karl, 1818-1883","Capital, Economics","Penguin Books in association with New Left Review,","[1992], c1978."
Physical,Horizon,BOOK,2016,6,2,The book of ballads / [illustrated and presented] by Charles Vess.,,,"Folklore Comic books strips etc, Fantasy comic books strips etc, Graphic novels","Tor,",2004.
Physical,Horizon,BOOK,2016,6,1,Lakota Woman / by Mary Crow Dog and Richard Erdoes.,,"Brave Bird, Mary","Brave Bird Mary, Dakota women Biography, Dakota Indians Social conditions, Rosebud Indian Reservation S D","Grove Press,",[2011].
Physical,Horizon,BOOK,2016,6,2,I dare me : how I rebooted and recharged my life by doing something new every day / Lu Ann Cahn.,,"Cahn, Lu Ann","Self actualization Psychology, Self esteem, Happiness","A Perigee Book,",2013.
Digital,Freegal,SONG,2016,6,1,Love Has Taken Me Over (Be My Baby),,Junie,,,
Digital,Freegal,SONG,2016,6,1,Electric Train,,NRBQ,,,
Digital,OverDrive,EBOOK,2016,6,2,"Holy Smokes: Aisling Grey, Guardian Series, Book 4",,Katie MacAlister,"Fantasy, Fiction, Humor (Fiction), Romance","Penguin Group (USA), Inc.",2010
