UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,6,1,Super rich : a guide to having it all / Russell Simmons with Chris Morrow.,,"Simmons, Russell","Self realization, Conduct of life, Attitude Psychology, Spiritual life","Gotham Books,",c2011.
Physical,Horizon,BOOK,2016,6,1,Shadowheart / James Barclay.,,"Barclay, James, 1965-","Raven Fictitious characters Barclay Fiction, Imaginary wars and battles Fiction, Fantasy fiction","Pyr,",2010.
Digital,OverDrive,EBOOK,2016,6,1,Where I'm Reading From: The Changing World of Books,,Tim Parks,"Literary Criticism, Nonfiction","Random House, Inc.",2015
Physical,Horizon,BOOK,2016,6,1,Little spotted cat / by Alyssa Satin Capucilli ; illustrations by Dan Andreason.,,"Capucilli, Alyssa Satin, 1957-","Cats Juvenile fiction, Naps Sleep Juvenile fiction, Behavior Fiction","Dial Books for Young Readers,",2005.
Physical,Horizon,SOUNDDISC,2016,6,1,Dog & butterfly [sound recording] / Heart.,,Heart (Musical group),Rock music 1971 1980,"Epic/Legacy,",c2004.
Physical,Horizon,BOOK,2016,6,1,Precalculus the easy way / Larry S. Leff.,,"Leff, Lawrence S.",Algebra Problems exercises etc,"Barron's,",c2005.
Physical,Horizon,BOOK,2016,6,1,The broken places / Ace Atkins.,,"Atkins, Ace","United States Army Commando troops Fiction, Murder Investigation Fiction, Mississippi Fiction, Domestic fiction, Mystery fiction","G.P. Putnam's Sons,",c2013.
Digital,OverDrive,EBOOK,2016,6,1,Once Upon an Alphabet: Short Stories for All the Letters,,Oliver Jeffers,"Juvenile Fiction, Picture Book Fiction","Penguin Group (USA), Inc.",2015
Physical,Horizon,BOOK,2016,6,4,The story of Wolverine / written by Michael Teitelbaum.,,"Teitelbaum, Michael","Wolverine Fictitious character Comic books strips etc, Heroes Juvenile literature, Cartoons and comics","DK Pub.,",c2009.
Digital,OverDrive,EBOOK,2016,6,1,"Slated for Death: Penny Brannigan Mystery Series, Book 6",,Elizabeth J. Duncan,"Fiction, Mystery",Macmillan Publishers,2015
Physical,Horizon,BOOK,2016,6,1,"Baleia! Baleia! Whale hunters of the Azores. Illustrated with photos., maps, and drawings by the author.",,"Venables, Bernard, 1907-2001","Whaling Azores Fayal, Faial Island Azores Description and travel",Knopf,1969 [c1968]
Physical,Horizon,BOOK,2016,6,2,Nancy Clancy seeks a fortune / written by Jane O'Connor ; illustrations by Robin Preiss Glasser.,,"O'Connor, Jane","Money making projects for children Juvenile fiction, Fund raising Juvenile fiction, Entrepreneurship Juvenile fiction, Best friends Juvenile fiction, Friendship Juvenile fiction, Moneymaking projects Fiction, Entrepreneurship Fiction","Harper, an imprint of HarperCollinsPublishers,",[2016]
Physical,Horizon,BOOK,2016,6,3,The flame alphabet / Ben Marcus,,"Marcus, Ben, 1967-","Speech Health aspects Fiction, Parent and child Fiction, Communication in families Fiction, Dystopias, Science fiction","Alfred A. Knopf,",2012.
Digital,OverDrive,AUDIOBOOK,2016,6,2,"Three Weeks with Lady X: Desperate Duchesses Series, Book 7 (unabridged)",,Eloisa James,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2014
Physical,Horizon,BOOK,2016,6,1,The voice of Rolling Thunder : a medicine man's wisdom for walking the red road / Sidian Morning Star Jones and Stanley Krippner.,,"Jones, Sidian Morning Star","Rolling Thunder, Indians of North America Biography, Cherokee Indians Biography, Indians of North America Medicine, Indians of North America Religion","Bear,",c2012.
Digital,OverDrive,EBOOK,2016,6,3,"Pawn: The Blackcoat Rebellion Series, Book 1",,Aimée Carter,"Science Fiction, Teen, Young Adult Fiction","Harlequin Enterprises, Ltd.",2014
Physical,Horizon,SOUNDDISC,2016,6,2,Into the deep [sound recording] / Galactic.,,Galactic (Musical group),"Popular music 2011 2020, Funk Music","Provogue,",[2015]
Physical,Horizon,VIDEODISC,2016,6,3,"Mala noche [videorecording] = Bad night / Janus Films ; screenplay, produced, directed by Gus Van Sant.",,,"Gay men Drama, Teenage boys Drama, Feature films, Video recordings for the hearing impaired","The Criterion Collection,",2007.
Physical,Horizon,SOUNDDISC,2016,6,2,Shift into freedom : a training in the science and practice of open-hearted awareness / Loch Kelly.,,"Kelly, Loch.","Awareness, Consciousness, Mind and body, Audiobooks","Sounds True,",[2015].
Digital,OverDrive,AUDIOBOOK,2016,6,1,Remembering Laughter,,Wallace Stegner,"Fiction, Literature","Blackstone Audio, Inc.",2011
Physical,Horizon,VIDEODISC,2016,6,42,"Only lovers left alive [videorecording] / Sony Pictures Classics ; a Recorded Picture Company/Pandora Film/Snow Wolf production ; in association with Faliro House, Le Pacte, Hanway Films ; produced by Jeremy Thomas, Reinhard Brundig ; written and directed by Jim Jarmusch.",,,"Musicians Drama, Vampires Drama, Man woman relationships Drama, Feature films, Horror films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Classics,",[2014]
Digital,OverDrive,EBOOK,2016,6,1,Just One Kiss,,Samantha James,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2010
Digital,OverDrive,EBOOK,2016,6,2,"Shakespeare's Landlord: Lily Bard Mystery Series, Book 1",,Charlaine Harris,"Fiction, Mystery","Penguin Group (USA), Inc.",2009
Digital,OverDrive,AUDIOBOOK,2016,6,1,The Darwin Myth: The Life and Lies of Charles Darwin (unabridged),,"Benjamin Wiker, PhD","Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2010
Digital,Freegal,SONG,2016,6,1,"Money (from ""Cabaret"")",,Alan Cumming,,,
Digital,OverDrive,EBOOK,2016,6,3,Dear Pope Francis: The Pope Answers Letters from Children Around the World,,Pope Francis,"Juvenile Nonfiction, Religion & Spirituality",Loyola Press,2016
Physical,Horizon,VIDEODISC,2016,6,1,"Vamos a jugar [videorecording] = Let's play / production, Create Studios ; producer, Heidi Stock ; director, Bill Oglesby, Heidi Stock.",,,"Spanish language Vocabulary Juvenile films, Spanish language Self instruction Juvenile films, Spanish language Study and teaching Early childhood Juvenile films, Spanish language materials, Childrens films","Whistlefritz LLC,",c2008.
Physical,Horizon,VIDEODISC,2016,6,25,"The hollow crown [videorecording] : the complete series : Richard II, Henry IV part 1, Henry IV part 2, Henry V / by William Shakespeare ; producer, Rupert Ryle-Hodges ; a Neal Street Productions co-production with NBC Universal and WNET Thirteen for BBC.",,,"Richard II King of England 1367 1400 Drama, Henry IV King of England 1367 1413 Drama, Great Britain History Henry IV 1399 1413 Drama, Henry V King of England 1387 1422 Drama, Great Britain History Henry V 1413 1422 Drama, Shakespeare William 1564 1616 Film and video adaptations, Television mini series, Historical television programs, Fiction television programs, Video recordings for the hearing impaired","Universal Studios,",[2013]
Physical,Horizon,BOOK,2016,6,1,My man Jeeves / P.G. Wodehouse.,,"Wodehouse, P. G. (Pelham Grenville), 1881-1975","Jeeves Fictitious character Fiction, Wooster Bertie Fictitious character Fiction, Valets Fiction, Single men Fiction, England Fiction, Humorous fiction","Overlook Press,",2006.
Physical,Horizon,BOOK,2016,6,1,Triptych / J.M. Frey.,,"Frey, J. M.","Human alien encounters Fiction, Extraterrestrial beings Fiction, Science fiction","Dragon Moon Press,","[2011], c2010."
Physical,Horizon,BOOK,2016,6,7,"Jesus before the gospels : how the earliest Christians remembered, changed, and invented their stories of the Savior / Bart D. Ehrman.",,"Ehrman, Bart D.","Jesus Christ Historicity, Jesus Christ Biography Sources","HarperOne,",2016.
Physical,Horizon,BOOK,2016,6,4,The annihilation score / Charles Stross.,,"Stross, Charles","Howard Bob Fictitious character Fiction, Intelligence service Great Britain Fiction, Husband and wife Fiction, Women violinists Fiction, Demonology Fiction, Occult fiction, Fantasy fiction","Ace Books,",2015.
Physical,Horizon,BOOK,2016,6,1,Svalbard (Spitsbergen) : with Franz Josef Land & Jan Mayen / Andreas Umbreit.,,"Umbreit, Andreas, 1959-","Svalbard Norway Guidebooks, Spitsbergen Island Norway Guidebooks, Jan Mayen Island Guidebooks, Franz Josef Land Russia Guidebooks","Bradt Travel Guides,",2013.
Digital,Hoopla,MUSIC,2016,6,1,Julian Bream In Concerto,,,Classical,Musical Concepts,
Physical,Horizon,BOOK,2016,6,4,My neighbor Totoro : the novel / art and story by Hayao Miyazaki ; text by Tsugiko Kubo ; translated by Jim Hubbert.,,"Kubo, Tsugiko","Sisters Juvenile fiction, Fathers and daughters Juvenile fiction, Spirits Juvenile fiction, Fantasy Fiction, Magic Fiction, Magic Juvenile fiction, Movie novels","VIZ Media LLC,",2013.
Digital,Freegal,SONG,2016,6,1,"6 Sonatas, Op. 3:  No. 6 in E Minor",,John Williams;Itzhak Perlman,,,
Physical,Horizon,BOOK,2016,6,3,52 ways to love your body / Kimber Simpkins.,,"Simpkins, Kimber.","Body image in women, Self acceptance in women","New Harbinger Publications, Inc.,",[2016]
Digital,OverDrive,EBOOK,2016,6,3,The Siege: A Novel,,Arturo Perez-Reverte,"Fiction, Historical Fiction, Mystery, Thriller","Random House, Inc.",2014
Physical,Horizon,BOOK,2016,6,1,"The secret life of Siegfried and Roy : how the tiger kings tamed Las Vegas / Jimmy Lavery, Jim Mydlach, and Louis Mydlach as told to Henrietta Tiefenthaler.",,"Lavery, Jimmy","Fischbacher Siegfried 1939, Horn Roy Uwe Ludwig 1944, Siegfried and Roy, Magicians Biography","Phoenix Books,",c2008.
Digital,OverDrive,AUDIOBOOK,2016,6,8,"Maisie Dobbs: Maisie Dobbs Series, Book 1 (unabridged)",,Jacqueline Winspear,"Fiction, Historical Fiction, Mystery","Blackstone Audio, Inc.",2006
Physical,Horizon,BOOK,2016,6,1,The Oxford guide to card games / David Parlett.,,"Parlett, David, 1939-","Card games History, Card games Social aspects","Oxford University Press,",1990.
Digital,OverDrive,AUDIOBOOK,2016,6,1,Use What You've Got: & Other Business Lessons I Learned from My Mom (abridged),,Barbara Corcoran,"Business, Nonfiction, Self-Improvement","Listen & Live Audio, Inc.",2005
Physical,Horizon,BOOK,2016,6,5,Stuey Lewis against all odds : stories from the third grade / Jane Schoenberg ; pictures by Cambria Evans.,,"Schoenberg, Jane, 1952-","Schools Fiction, Family life Fiction","Farrar Straus Giroux,",c2012.
Physical,Horizon,BOOK,2016,6,2,Dead man walking : an eyewitness account of the death penalty in the United States / Helen Prejean.,,"Prejean, Helen","Capital punishment United States, Capital punishment Religious aspects","Random House,",1993.
Digital,OverDrive,EBOOK,2016,6,1,Tiger Force: A True Story of Men and War,,Michael Sallah,"History, Military, Nonfiction","Hachette Digital, Inc.",2013
Digital,Freegal,SONG,2016,6,1,Call Me Now,,Jazz,,,
Digital,OverDrive,EBOOK,2016,6,2,"Countdown Zero: The Codename Conspiracy Series, Book 2",,Chris Rylander,"Humor (Fiction), Juvenile Fiction, Thriller",HarperCollins Publishers Inc.,2015
Digital,Freegal,SONG,2016,6,1,Quit Smoking Introduction,,Allison Pinnock,,,
Digital,OverDrive,EBOOK,2016,6,1,Excuse Me While I Wag,,Scott Adams,"Humor (Nonfiction), Nonfiction","Andrews McMeel Publishing, LLC",2012
Physical,Horizon,SOUNDDISC,2016,6,1,Mother Goose melodies [sound recording] / MaryLee.,,"Sunseri, MaryLee","Nursery rhymes Juvenile sound recordings, Lullabies Juvenile sound recordings, Childrens songs Juvenile sound recordings, Songs","Piper Grove,",c2003.
Physical,Horizon,BOOK,2016,6,3,"Illness as metaphor ; and, AIDS and its metaphors / Susan Sontag.",,"Sontag, Susan, 1933-2004","AIDS Disease Social aspects, Metaphor, Tuberculosis in literature, Cancer in literature","Picador/Farrar, Straus and Giroux : Distributed by Holtzbrinck Publishers,",c1989.
Physical,Horizon,BOOK,2016,6,1,Operation Paperclip [text (large print)] : the secret intelligence program that brought Nazi scientists to America / Annie Jacobsen.,,"Jacobsen, Annie","World War 1939 1945 Technology, Brain drain Germany History 20th century, Scientists Recruiting Germany History 20th century, Scientists Recruiting United States History 20th century, Physicians Recruiting Germany History 20th century, Nazis History 20th century, War criminals Germany History 20th century, Intelligence service United States History 20th century, Military research History 20th century, German Americans History 20th century, Large type books","Little, Brown and Company,",2014.
Physical,Horizon,BOOK,2016,6,1,The vanishing act / Mette Jakobsen.,,"Jakobsen, Mette, 1964-","Girls Fiction, Islands Fiction, Abandoned children Fiction, Families Fiction","W. W. Norton & Company,",2012.
Physical,Horizon,BOOK,2016,6,3,"Craft, inc. : the ultimate guide to turning your creative hobby into a successful business / Meg Mateo Ilasco.",,"Ilasco, Meg Mateo","New business enterprises Management, Small business Management, Home based businesses Management, Self employed, Hobbies","Chronicle Books,",c2011.
Digital,OverDrive,EBOOK,2016,6,1,"Blind Trust: Port Aster Secrets Series, Book 2",,Sandra Orchard,"Christian Fiction, Fiction, Mystery, Suspense",Baker Publishing Group,2015
Digital,OverDrive,EBOOK,2016,6,1,"Is He a Girl?: Marvin Redpost Series, Book 3",,Louis Sachar,"Humor (Fiction), Juvenile Fiction","Random House, Inc.",2011
Digital,Freegal,SONG,2016,6,1,Mr P.C.,,John Coltrane,,,
Physical,Horizon,VIDEODISC,2016,6,4,"Leslie Sansone just walk. Walk it off in 30 days [videorecording] / Walk Productions, Inc. ; created by Leslie Sansone ; executive producer for Anchor Bay, Michelle Rygiel ; producer/director, Andrea Ambandos.",,,"Reducing exercises, Fitness walking, Instructional films, Nonfiction films, Video recordings for the hearing impaired","Distributed by Anchor Bay Entertainment,",c2013.
Physical,Horizon,BOOK,2016,6,1,Roasting : a simple art / Barbara Kafka ; photographs by Maria Robledo.,,"Kafka, Barbara",Roasting Cooking,"William Morrow,",1995.
Digital,OverDrive,AUDIOBOOK,2016,6,2,Dead to You,,Lisa McMann,"Mystery, Suspense, Young Adult Fiction",Simon & Schuster - All Library,2014
Physical,Horizon,BOOK,2016,6,1,The warrior within / [written by Greg Farshtey ; adapted by Anna Holmes ; illustrated by Ameet Studio].,,"Farshtey, Greg",LEGO toys Juvenile fiction,"Scholastic,",2014.
Physical,Horizon,BOOK,2016,6,1,"The lost king of France : a true story of revolution, revenge, and DNA / Deborah Cadbury.",,"Cadbury, Deborah","Louis XVII of France 1785 1795 Death and burial, Louis XVI King of France 1754 1793 Family, DNA fingerprinting France, France Kings and rulers Children Death, France History Revolution 1789 1799 Prisoners and prisons","St. Martin's Press,",2002.
Digital,OverDrive,EBOOK,2016,6,5,"Bound: Mastered Series, Book 1",,Lorelei James,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2014
Digital,Freegal,SONG,2016,6,1,Pretty Boy,,Gale Garnett,,,
Physical,Horizon,SOUNDDISC,2016,6,1,Glad all over [sound recording] / the Wallflowers.,,Wallflowers (Musical group),Rock music 2011 2020,"Columbia,",p2012.
Digital,OverDrive,EBOOK,2016,6,1,"Wrangled and Tangled: Blacktop Cowboys Series, Book 3",,Lorelei James,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2014
Physical,Horizon,BOOK,2016,6,4,Hedgie blasts off! / Jan Brett.,,"Brett, Jan, 1949-","Astronauts Juvenile fiction, Janitors Juvenile fiction, Hedgehogs Juvenile fiction, Science fiction Juvenile fiction","Putnam,",2006.
Digital,Freegal,SONG,2016,6,2,Manteca,,Dizzy Gillespie,,,
Physical,Horizon,MUSIC,2016,6,3,The Grammy Awards [music] : record of the year 1958-2011.,,,"Popular music, Grammy Awards","Hal Leonard,",[2013].
Physical,Horizon,BOOK,2016,6,1,The Victorian house book : a practical guide to home repair and decoration / Robin Guild.,,"Guild, Robin","Architecture Victorian Conservation and restoration, Architecture Domestic Conservation and restoration, Decoration and ornament Victorian style, Historic buildings Maintenance and repair, Architecture Details","Firefly Books,",2008.
Physical,Horizon,BOOK,2016,6,1,White like she / by Bob Fingerman.,,"Fingerman, Bob, 1964-","Brain Transplantation Comic books strips etc, Race relations Comic books strips etc, Sex differences Psychology United States Comic books strips etc, Graphic novels","Image Comics,",2014.
Physical,Horizon,BOOK,2016,6,3,"Assassination classroom. 1, Time for assassination / Yusei Matsui ; [translation, Tetsuichiro Miyaki ; English adaptation, Bryant Turnage ; touch-up art & lettering, Stephen Dutro].",,"Matsui, Yūsei, 1981-","Junior high school students Comic books strips etc, Assassination Comic books strips etc, Extraterrestrial beings Comic books strips etc, Teacher student relationships Comic books strips etc, Graphic novels, Science fiction comic books strips etc","Viz Media,",[2014].
Digital,OverDrive,EBOOK,2016,6,2,"Standing in the Light: The Diary of Catharine Carey Logan: Delaware Valley, Pennsylvania, 1763",,Mary Pope Osborne,"Historical Fiction, Juvenile Fiction","Scholastic, Inc. (US)",2014
Physical,Horizon,BOOK,2016,6,2,"Fantastic Four. [Vol. 1], The fall of the Fantastic Four / writer, James Robinson ; penciler, Leonard Kirk ; inkers, Karl Kesel, Jay Leisten and Rick Magyar ; colorists, Jesus Aburtov with Rachelle Rosenberg ; letterer, VC's Clayton Cowles.",,"Robinson, James Dale","Fantastic Four Fictitious characters Comic books strips etc, Science fiction comic books strips etc, Graphic novels","Marvel,",[2014]
Digital,OverDrive,EBOOK,2016,6,2,Surfaces and Essences: Analogy as the Fuel and Fire of Thinking,,Douglas Hofstadter,"Nonfiction, Philosophy, Science",Perseus Publishing,2013
Physical,Horizon,SOUNDDISC,2016,6,2,"Classic Sinatra [sound recording] : his great performances, 1953-1960.",,"Sinatra, Frank, 1915-1998",Popular music 1951 1960,"Capitol,",p2000.
Physical,Horizon,BOOK,2016,6,15,Happy! / Pharrell Williams ; [interior photography by Amanda Pratt].,,"Williams, Pharrell","Happiness Pictorial works Juvenile literature, Conduct of life Pictorial works Juvenile literature, Childrens songs United States Texts, Songs United States Texts, Songs","G.P. Putnam's Sons, an imprint of Penguin Random House,",[2015]
Digital,Freegal,SONG,2016,6,1,Round Of Blues,,Shawn Colvin,,,
Physical,Horizon,SOUNDREC,2016,6,1,The sanctuary sparrow [sound recording] / by Ellis Peters.,,"Peters, Ellis, 1913-1995","Cadfael Brother Fictitious character Fiction, Great Britain History Stephen 1135 1154 Fiction, Shrewsbury England Fiction, Herbalists Fiction, Catholics Fiction, Monks Fiction, Audiobooks, Mystery fiction, Historical fiction","Blackstone Audio, Inc.,","[2012], p1998."
Physical,Horizon,BOOK,2016,6,1,"Dirty Joe, the pirate : a true story / words by Bill Harley ; pictures by Jack E. Davis.",,"Harley, Bill, 1954-","Pirates Juvenile fiction, Clothing and dress Juvenile fiction, Brothers and sisters Fiction, Humorous stories, Stories in rhyme Juvenile fiction","HarperCollinsPublishers,",c2008.
Digital,OverDrive,EBOOK,2016,6,1,Running the Rift,,Naomi Benaron,"Fiction, Literature",Workman Publishing,2012
Digital,Hoopla,MOVIE,2016,6,1,Good Neighbors,,,"Action & Adventure, Canadian, Comedic Crime, Comedy, Suspense / Thriller, Teen, World",Magnolia,
Physical,Horizon,BOOK,2016,6,11,Narconomics : how to run a drug cartel / Tom Wainwright.,,"Wainwright, Tom, 1982-","Drug traffick Economic aspects, Drug control Economic aspects, Drug dealers","PublicAffairs,",[2016]
Physical,Horizon,VIDEODISC,2016,6,19,"Tinker Bell and the great fairy rescue [videorecording] / Walt Disney Pictures ; produced by DisneyToon Studios ; story by Bradley Raymond and Jeffrey M. Howard ; screenplay by Bob Hilgenberg ... [and others] ; produced by Helen Kalafatic, Margot Pipkin ; directed by Bradley Raymond.",,,"Tinker Bell Fictitious character Juvenile fiction, Fairies Fiction, Feature films, Childrens films, Animated films, Video recordings for the hearing impaired","Disney DVD : Distributed by Buena Vista Home Entertainment,",[2010]
Physical,Horizon,BOOK,2016,6,9,"Mountain top mystery / Gertrude Chandler Warner ; illustrations, David Cunningham.",,"Warner, Gertrude Chandler, 1890-1979,","Boxcar children Fictitious characters Juvenile fiction, Orphans Juvenile fiction, Families Juvenile fiction, Boxcar children Fictitious characters Fiction, Orphans Fiction, Families Fiction, Mystery and detective stories, Mystery fiction","Albert Whitman & Company,",[1966]
Digital,OverDrive,EBOOK,2016,6,1,"Melanie Martin Goes Dutch: The Private Diary of My Almost Bummer Summer with Cecily, Matt the Brat, and Vincent Van Go Go Go",,Carol Weston,"Young Adult Fiction, Young Adult Literature","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2016,6,2,"The great debaters [videorecording] / The Weinstein Company ; Harpo Films ; produced by Todd Black, Kate Forte, Joe Roth, Oprah Winfrey ; story by Robert Eisele & Jeffrey Porro ; screenplay by Robert Eisele ; directed by Denzel Washington.",,,"Debates and debating Drama, Wiley College Marshall Tex Drama, African American college students Drama, African American college teachers Texas Drama, Texas Drama, Feature films, Fiction films, Video recordings for the hearing impaired","Weinstein Company,",c2008.
Physical,Horizon,BOOK,2016,6,1,Sovereign erotics : a collection of two-spirit literature / edited by Qwo-Li Driskill ... [and others].,,,"Indian gays Literary collections, Indian lesbians Literary collections, American literature Indian authors, Gays writings American, Indians of North America Sexual behavior Literary collections, American literature 21st century, Homosexuality United States, Indians of North America Sexual behavior","University of Arizona Press,",c2011.
Digital,OverDrive,EBOOK,2016,6,4,A Good Night for Ghosts,,Mary Pope Osborne,"Historical Fiction, Juvenile Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2016,6,2,No Comfort for the Lost,,Nancy Herriman,"Fiction, Historical Fiction, Literature, Mystery","Penguin Group (USA), Inc.",2015
Physical,Horizon,BOOK,2016,6,4,U.N. adventure : mission to Molowa / by Ramsey Montgomery ; illustrated by Wes Louie.,,"Montgomery, Ramsey, 1967-2008","United Nations Juvenile fiction, Adventure stories, Plot your own stories","Chooseco,",2009.
Physical,Horizon,SOUNDDISC,2016,6,1,Wild like children [sound recording] / Tilly and the Wall.,,Tilly & the Wall (Musical group),Rock music 2001 2010,"Team Love,",[c2004]
Digital,OverDrive,EBOOK,2016,6,12,"Dreaming of You: Gamblers Series, Book 2",,Lisa Kleypas,"Fiction, Romance",HarperCollins Publishers Inc.,2005
Digital,OverDrive,EBOOK,2016,6,1,"Farewell, My Lunchbag: Chet Gecko, Private Eye Series, Book 3",,Bruce Hale,"Juvenile Fiction, Mystery",Houghton Mifflin Harcourt Trade and Reference,2011
Physical,Horizon,BOOK,2016,6,1,Daddy's little scout / written by Janet Bingham ; illustrated by Rosalind Beardshaw.,,"Bingham, Janet, 1959-","Animals Habitations Juvenile fiction, Fathers and sons Juvenile fiction, Foxes Juvenile fiction","Cartwheel Books,",2010.
Digital,OverDrive,EBOOK,2016,6,3,Simply Nigella: Feel Good Food,,Nigella Lawson,"Cooking & Food, Nonfiction",Macmillan Publishers,2015
Digital,OverDrive,EBOOK,2016,6,1,No One Needs to Know,,Kevin O'Brien,"Fiction, Thriller","Random House, Inc.",2015
Digital,Hoopla,MOVIE,2016,6,1,Pumpkin Circle,,,Children's,Weston Woods,
Physical,Horizon,BOOK,2016,6,1,"El gran, gran, gran dinosaurio / Richard Byrne.",,"Byrne, Richard, 1963-","Dinosaurs Juvenile fiction, Behavior Fiction, Spanish language materials Fiction, Behavior Juvenile fiction","Miau, Ediciones Jaguar,",[2013?]
Digital,Freegal,SONG,2016,6,1,1 Hour,,Hiroshi Morohashi,,,
Physical,Horizon,VIDEODISC,2016,6,5,"Murphy's law. Series 2 [videorecording] / Tiger Aspect Productions for BBC Northern Ireland ; written by Colin Bateman, Tony McHale, and Stephen Brady ; directed by Brian Kirk, Ed Fraiman, and Philip John ; produced by Jemma Rodgers.",,,"Criminal investigation Drama, Detective and mystery television programs, Video recordings for the hearing impaired, Television series, Detective and mystery television programs Great Britain, Fiction television programs","Acorn Media,",c2010.
Digital,OverDrive,EBOOK,2016,6,1,"A Path Appears: Transforming Lives, Creating Opportunity",,Nicholas D. Kristof,"Business, Education, Nonfiction, Sociology","Random House, Inc.",2014
Physical,Horizon,BOOK,2016,6,1,Beethoven as I knew him / Anton Felix Schindler ; edited by Donald W. MacArdle ; English translation by Constance S. Jolly.,,"Schindler, Anton, 1795-1864","Beethoven Ludwig van 1770 1827, Composers Austria Biography","Dover Publications,",1996.
Digital,OverDrive,AUDIOBOOK,2016,6,5,"Watch Your Whiskers, Stilton! & Shipwreck on the Pirate Islands: Geronimo Stilton Series, Books 17 and 18 (unabridged)",,Geronimo Stilton,"Juvenile Fiction, Juvenile Literature",Scholastic Inc. Audiobooks,2011
Physical,Horizon,SOUNDDISC,2016,6,2,The evil empire of everything [sound recording] / Public Enemy.,,Public Enemy (Musical group),"Rap Music, Popular music 2011 2020","Enemy Records,",p2012.
Physical,Horizon,SOUNDDISC,2016,6,1,Take the high road [sound recording] / Blind Boys of Alabama.,,Blind Boys of Alabama,Gospel music,"Saguaro Road Records,",p2011.
Digital,Freegal,SONG,2016,6,1,Story of My Life,,The Piano Guys,,,
Physical,Horizon,BOOK,2016,6,1,The complete idiot's guide to grilling / by Don Mauer.,,"Mauer, Don",Barbecuing,"Alpha Books,",c2006.
Physical,Horizon,BOOK,2016,6,2,"Superman Action Comics. Volume 2, Bulletproof / Grant Morrison, Sholly Fisch, Max Landis, writers ; Rags Morales [and 9 others], artists ; Brad Anderson [and 7 others], colorists ; Patrick Brosseau [and 3 others], letterers ; Rags Morales & Brad Anderson, cover artists.",,"Morrison, Grant","Superman Fictitious character Comic books strips etc, Superheroes Comic books strips etc, Superhero comic books strips etc, Graphic novels, Comic books strips etc","DC Comics,",2013.
Digital,OverDrive,EBOOK,2016,6,1,The Marine's Baby,,Rogenna Brewer,"Contemporary Romance, Fiction, Romance","Harlequin Enterprises, Ltd.",2008
Physical,Horizon,SOUNDDISC,2016,6,2,No witch [sound recording] / the Cave Singers.,,Cave Singers,"Popular music 2011 2020, Rock music 2011 2020","Jagjaguwar,",p2011.
Digital,OverDrive,EBOOK,2016,6,12,"10th Anniversary: Women's Murder Club Series, Book 10",,James Patterson,"Fiction, Thriller","Hachette Digital, Inc.",2013
Physical,Horizon,BOOK,2016,6,1,Buzz kill / Beth Fantaskey.,,"Fantaskey, Beth","Murder Juvenile fiction, High schools Juvenile fiction, Schools Fiction, Coaches Athletics Juvenile fiction, Dating Social customs Juvenile fiction, Mystery and detective stories, Murder Fiction, High schools Fiction, Schools Fiction, Coaches Athletics Fiction, Dating Social customs Fiction, Young adult fiction","New York : Houghton Mifflin Harcourt,",[2014]
Digital,OverDrive,EBOOK,2016,6,2,Something Wicked This Way Comes,,Ray Bradbury,"Fantasy, Fiction, Literature, Science Fiction",HarperCollins Publishers Inc.,2013
Digital,OverDrive,EBOOK,2016,6,3,Getting Organized,,Stephanie Winston,"Nonfiction, Self-Improvement","Hachette Digital, Inc.",2009
Physical,Horizon,SOUNDDISC,2016,6,2,Wee sing bible songs [sound recording] / [by Pamela Conn Beall and Susan Hagen Nipp].,,"Beall, Pamela Conn","Bible Songs and music Juvenile sound recordings, Childrens songs Juvenile sound recordings, Songs","Price Stern Sloan,","[2007], p2002."
Physical,Horizon,SOUNDDISC,2016,6,1,Breathless [sound recording] / Terence Blanchard featuring the E-Collective.,,"Blanchard, Terence","Jazz 2011 2020, Trumpet music Jazz","Blue Note Records,",[2015]
Physical,Horizon,BOOK,2016,6,2,Snakes / Sonia Hernandez-Divers.,,"Hernandez-Divers, Sonia, 1969-","Snakes as pets Juvenile literature, Pets","Heinemann Library,",c2003.
Digital,Freegal,SONG,2016,6,1,Debedo,,Bassic,,,
Physical,Horizon,SOUNDDISC,2016,6,1,Dora rocks! [sound recording] : music from the special & more.,,,"Childrens songs Juvenile sound recordings, Television music Juvenile sound recordings, Songs, Television music","Viacom/Sony,",p2012.
Physical,Horizon,BOOK,2016,6,3,"Handmade books / [senior editor, Ray Hemachandra].",,,"Artists books, Bookbinding, Book design","Lark Books,",c2010.
Digital,Freegal,SONG,2016,6,2,Elegie,,Patti Smith,,,
